Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table,Average#Guests
2024,3,25,07:00 - 07:29,Cashier,233.75,25,9.35,25,9.35,25,9.35,1,1,
2024,3,26,07:00 - 07:29,Cashier,233.18,30,7.77,30,7.77,30,7.77,1,1,
2024,3,27,07:00 - 07:29,Cashier,139.85,18,7.77,18,7.77,18,7.77,1,1,
2024,3,28,07:00 - 07:29,Cashier,271.27,32,8.48,32,8.48,32,8.48,1,1,
2024,3,29,07:00 - 07:29,Cashier,142.25,12,11.85,12,11.85,12,11.85,1,1,
2024,3,30,07:00 - 07:29,Cashier,0.89,1,0.89,1,0.89,1,0.89,1,1,19.66666667
2024,3,25,07:30 - 07:59,Cashier,422.96,53,7.98,53,7.98,53,7.98,1,1,
2024,3,26,07:30 - 07:59,Cashier,271.14,39,6.95,39,6.95,39,6.95,1,1,
2024,3,27,07:30 - 07:59,Cashier,345.19,45,7.67,45,7.67,45,7.67,1,1,
2024,3,28,07:30 - 07:59,Cashier,418.6,49,8.54,49,8.54,49,8.54,1,1,
2024,3,29,07:30 - 07:59,Cashier,419.15,50,8.38,50,8.38,50,8.38,1,1,47.2
2024,3,25,08:00 - 08:29,Cashier,959.94,131,7.33,131,7.33,131,7.33,1,1,
2024,3,26,08:00 - 08:29,Cashier,583.23,85,6.86,84,6.94,85,6.86,0.99,0.99,
2024,3,27,08:00 - 08:29,Cashier,686.4,101,6.8,101,6.8,101,6.8,1,1,
2024,3,28,08:00 - 08:29,Cashier,709.83,103,6.89,103,6.89,103,6.89,1,1,
2024,3,29,08:00 - 08:29,Cashier,618.85,86,7.2,86,7.2,86,7.2,1,1,
2024,3,30,08:00 - 08:29,Cashier,149.59,15,9.97,15,9.97,15,9.97,1,1,86.66666667
2024,3,25,08:30 - 08:59,Cashier,622.9,82,7.6,82,7.6,82,7.6,1,1,
2024,3,26,08:30 - 08:59,Cashier,638.03,71,8.99,70,9.11,71,8.99,0.99,0.99,
2024,3,27,08:30 - 08:59,Cashier,622.88,70,8.9,70,8.9,70,8.9,1,1,
2024,3,28,08:30 - 08:59,Cashier,410.69,53,7.75,53,7.75,53,7.75,1,1,
2024,3,29,08:30 - 08:59,Cashier,479.02,58,8.26,58,8.26,58,8.26,1,1,
2024,3,30,08:30 - 08:59,Cashier,341.68,37,9.23,37,9.23,37,9.23,1,1,61.66666667
2024,3,25,09:00 - 09:29,Cashier,1166.21,141,8.27,141,8.27,141,8.27,1,1,
2024,3,26,09:00 - 09:29,Cashier,1050.98,115,9.14,113,9.3,115,9.14,0.98,0.98,
2024,3,27,09:00 - 09:29,Cashier,814.22,119,6.84,116,7.02,119,6.84,0.97,0.97,
2024,3,28,09:00 - 09:29,Cashier,886.64,126,7.04,126,7.04,126,7.04,1,1,
2024,3,29,09:00 - 09:29,Cashier,1144.22,143,8,143,8,143,8,1,1,
2024,3,30,09:00 - 09:29,Cashier,384.55,40,9.61,40,9.61,40,9.61,1,1,113.1666667
2024,3,25,09:30 - 09:59,Cashier,1456.57,148,9.84,148,9.84,148,9.84,1,1,
2024,3,26,09:30 - 09:59,Cashier,1520.83,168,9.05,167,9.11,168,9.05,0.99,0.99,
2024,3,27,09:30 - 09:59,Cashier,1369.92,148,9.26,148,9.26,148,9.26,1,1,
2024,3,28,09:30 - 09:59,Cashier,1006.72,134,7.51,134,7.51,134,7.51,1,1,
2024,3,29,09:30 - 09:59,Cashier,1059.37,122,8.68,122,8.68,122,8.68,1,1,
2024,3,30,09:30 - 09:59,Cashier,555.78,66,8.42,66,8.42,66,8.42,1,1,130.8333333
2024,3,25,10:00 - 10:29,Cashier,1675.12,170,9.85,169,9.91,170,9.85,0.99,0.99,
2024,3,26,10:00 - 10:29,Cashier,1334.55,153,8.72,153,8.72,153,8.72,1,1,
2024,3,27,10:00 - 10:29,Cashier,1250.55,145,8.62,145,8.62,145,8.62,1,1,
2024,3,28,10:00 - 10:29,Cashier,1629.57,169,9.64,168,9.7,169,9.64,0.99,0.99,
2024,3,29,10:00 - 10:29,Cashier,932.49,126,7.4,125,7.46,126,7.4,0.99,0.99,
2024,3,30,10:00 - 10:29,Cashier,897.81,87,10.32,87,10.32,87,10.32,1,1,141.1666667
2024,3,25,10:30 - 10:59,Cashier,2779.99,199,13.97,199,13.97,199,13.97,1,1,
2024,3,26,10:30 - 10:59,Cashier,1575.58,148,10.65,147,10.72,148,10.65,0.99,0.99,
2024,3,27,10:30 - 10:59,Cashier,2007.05,166,12.09,165,12.16,166,12.09,0.99,0.99,
2024,3,28,10:30 - 10:59,Cashier,1634.28,152,10.75,151,10.82,152,10.75,0.99,0.99,
2024,3,29,10:30 - 10:59,Cashier,1860.69,157,11.85,156,11.93,157,11.85,0.99,0.99,
2024,3,30,10:30 - 10:59,Cashier,1014.45,97,10.46,97,10.46,97,10.46,1,1,152.5
2024,3,25,11:00 - 11:29,Cashier,2067.8,154,13.43,154,13.43,154,13.43,1,1,
2024,3,26,11:00 - 11:29,Cashier,1974.52,166,11.89,166,11.89,166,11.89,1,1,
2024,3,27,11:00 - 11:29,Cashier,1677.83,156,10.76,155,10.82,156,10.76,0.99,0.99,
2024,3,28,11:00 - 11:29,Cashier,1828.62,167,10.95,167,10.95,167,10.95,1,1,
2024,3,29,11:00 - 11:29,Cashier,1859.16,150,12.39,149,12.48,150,12.39,0.99,0.99,
2024,3,30,11:00 - 11:29,Cashier,1158.65,103,11.25,103,11.25,103,11.25,1,1,149
2024,3,25,11:30 - 11:59,Cashier,2760.7,195,14.16,194,14.23,195,14.16,0.99,0.99,
2024,3,26,11:30 - 11:59,Cashier,2594.61,197,13.17,197,13.17,197,13.17,1,1,
2024,3,27,11:30 - 11:59,Cashier,2060.57,177,11.64,176,11.71,177,11.64,0.99,0.99,
