Item#,Group,Category,Menu Item,Net Qty,Net Sales,Initial Refrigerator #,Rank,Lenth,Width,Height
53,,,Neato Bur Paradise,9,61.65,2,133,12,19,7
133,,,Laura Chenel Goat Plain Log,9,71.55,5,134,8,17,5
55,,,Neato Bur South of Border,8,54.8,2,140,12,19,7
61,,Deli Meat Packaged,Columbus Pastrami Presliced 6oz,8,85.52,2,141,14,23,2
63,,Packaged Grab and Go,Columbus Charcuterie Tasting Board 4oz,8,151.92,2,142,25,35,3
67,,,Divina Olives Castelvetrano 4.6oz,8,55.12,2,143,8,8,16
51,,,Pennys Salsa Mild 16oz,6,32.94,2,145,16,16,7
56,,,Neato Bur Spicy Potato,6,41.1,2,146,12,19,7
173,,,Field Roast Mex Chiptle Sausage,6,58.94,5,148,20,14,12
65,,,Better Bean Hummus Cup 2oz,5,5.95,2,150,10,10,6
66,,,Divina Olives Blue Cheese Stuffed 4.6oz,5,34.25,2,151,8,8,16
122,,,BelGioioso Romano Wedge,5,24.75,5,152,15,10,3
168,,,Field Roast Apple Sage Sausage,5,48.95,5,154,15,10,10
174,,,Field Roast Smked Tmto Deli Sliced,5,24.95,5,155,12,12,2
3,,Dairy Other,Kraft Big Cheese Bar Colby Jack,4,10.71,1,156,7,20,5
52,Grocery - Fresh Packaged,Sandwich and Wrap,Neato Bur Albuquerque,4,27.4,2,157,12,19,7
58,,,Neato Hummus Chipotle,4,27.4,2,158,16,16,7
155,,,Daiya Vegan Cream Cheese Plain 8oz,4,30.6,5,159,12,12,5
156,,,Daiya Vegan Sliced Cheese,4,24.36,5,160,10,9,3
175,,,Uptons Natural Seitain Chorizo ,4,26.6,5,161,12,14,4
57,,,Neato Bur Thai Delight,3,20.55,2,163,16,16,7
59,Grocery - Refrigerated,Asian Perishable,Marukome Miso Organic 13.2oz,3,21.87,2,164,10,6,9
60,,,Marukome Miso Organic LS 13.2oz,3,21.14,2,165,10,6,9
68,,,Divina Olives Kalamata Pitted 4.2oz,3,20.67,2,166,9,9,6
126,,,Field Roast Chao Cheese Original,3,24.27,5,167,10,9,3
134,,,Laural Chenel Garlic & Chive Goat Log 4oz,3,20.97,5,168,7,13,4
117,Grocery - Dairy,Cheese,BelGioioso Asiago Wedge,2,9.9,5,169,17,8,2
154,,,Daiya Vegan Cream Cheeese Strawberry 8oz,2,15.3,5,170,12,12,5
169,,,Field Roast Brkfst Mple Sausage,2,19.98,5,171,15,17,4
170,,,Field Roast Frankforter Sausage,2,17.98,5,172,15,17,4
171,,,Field Roast Fruffalo Wing,2,23.98,5,173,20,2,15
12,Grocery Store Deli,Breakfast (Non-Weighed),Egg Hard Boiled Individual,1,0.89,1,174,5,5,2
172,,,Field Roast Lentil Sage Deli,1,5.29,5,175,15,15,6
176,,,Uptons Natural Seitan Bacon,1,6.49,5,176,14,6,16
,,,,,,,,,,
,,,_q_i=,148,,,,,,
