Group,Category,Menu Item,Gross,Void Qty,Void Amt,Refund Qty,Refund Amt,Option Amt,Discount,PriceLevelAdj,Approx. Tax,Net Qty,Net Sales
ACE Sushi,Sushi Counter,ACE California Crunch Roll,3066.96,0,0,0,0,0.75,-3.8,0,309.3,279,3063.16
,,ACE Combo Big 3,41.97,0,0,0,0,0,0,0,4.24,3,41.97
,,ACE Poke Bowl Spicy Salmon,545.61,0,0,0,0,0,0,0,55.11,39,545.61
,,ACE Poke Bowl Spicy Tuna,335.76,0,0,0,0,0,0,0,33.91,24,335.76
,,ACE Salmon Roll,1197.91,0,0,0,0,0,-2.45,0,120.74,109,1195.46
,Sushi Counter,---,5188.21,0,0,0,0,0.75,-6.25,0,---,454,5181.96
ACE Sushi,---,---,5188.21,0,0,0,0,0.75,-6.25,0,---,454,5181.96
Bakery & Desserts,Dessert,Alki Tiramisu Slice ,347.42,0,0,0,0,0,0,0,35.09,58,347.42
,,Brownie,131.67,0,0,0,0,0,0,0,13.3,33,131.67
,,Cookie,88.77,0,0,0,0,0,-0.27,0,8.94,33,88.5
,,Dessert Bar,283.29,0,0,0,0,0,0,0,28.61,71,283.29
,,Fruit Tart,730.17,0,0,0,0,0,0,0,73.75,133,730.17
,,Mini Cheesecake,6.59,0,0,0,0,0,0,0,0.67,1,6.59
,,Mini Cookie,0,0,0,0,0,0,0,0,0,0,0
,,Rice Crispy Treat,0,0,0,0,0,0,0,0,0,0,0
,Dessert,---,1587.91,0,0,0,0,0,-0.27,0,---,329,1587.64
,Fresh Baked Goods,Biscotti,0,0,0,0,0,0,0,0,0,0,0
,,Cheesy Bagel,601.12,0,0,0,0,0,-0.29,0,0,208,600.83
,,Cinnamon Roll,280.46,0,0,0,0,0,0,0,0,74,280.46
,,Coffee Cake,0,0,0,0,0,0,0,0,0,0,0
,,Croissant,997.52,0,0,0,0,0.75,-0.38,0,0,263,997.14
,,Danish,294.48,0,0,0,0,0,0,0,0,72,294.48
,,Doughnut Bar,359,0,0,0,0,0,0,0,0,100,359
,,Doughnut Fritter,272.88,0,0,0,0,0,-0.76,0,0,72,272.12
,,Doughnut Round,350.42,0,0,0,0,1.25,-0.34,0,0,103,350.08
,,GF Fruit Bar,0,0,0,0,0,0,0,0,0,0,0
,,GF Muffin,43.92,0,0,0,0,0,0,0,0,8,43.92
,,Muffin,931.31,0,0,0,0,1.5,-1.44,0,0,259,929.87
,,Parisian Bar ,0,0,0,0,0,0,0,0,0,0,0
,,Parisian Cake ,65.9,0,0,0,0,0,0,0,0,10,65.9
,,Scone,183.09,0,0,0,0,0,0,0,0,51,183.09
,,Tea Bread Slice,568.56,0,0,0,0,0,-0.93,0,0,184,567.63
,,Traditional Bagel,481.51,0,0,0,0,0,0,0,0,179,481.51
,Fresh Baked Goods,---,5430.17,0,0,0,0,3.5,-4.14,0,---,1583,5426.03
Bakery & Desserts,---,---,7018.08,0,0,0,0,3.5,-4.41,0,---,1912,7013.67
Cafe Beverages,Coffee,Coffee (Grande),140.35,0,0,0,0,0,-1.1,-13.65,14.06,40,139.25
,,Coffee (Short),62.5,0,0,0,0,0,-0.25,-21.25,6.29,25,62.25
,,Coffee (Tall),207.9,0,0,0,0,0,-3.65,-30.15,20.63,69,204.25
,,Cold Brew Coffee (Grande),128.25,0,0,0,0,2.25,-0.9,-12.6,12.64,28,127.35
,,Cold Brew Coffee (Short),16.5,0,0,0,0,1.5,0,-2.8,1.51,4,16.5
,,Cold Brew Coffee (Tall),75,0,0,0,0,3,0,-13.5,7.27,18,75
,,Nitro Cold Brew (Grande),0,0,0,0,0,0,0,0,0,0,0
