Item i,Menu Item,aij(column),bij(row),shelf
3,Kraft Big Cheese Bar Colby Jack,3,2,1
12,Egg Hard Boiled Individual,3,10,1
51,Pennys Salsa Mild 16oz,3,3,1
52,Neato Bur Albuquerque,3,2,1
53,Neato Bur Paradise,3,2,1
55,Neato Bur South of Border,2,2,2
56,Neato Bur Spicy Potato,2,2,2
57,Neato Bur Thai Delight,2,3,2
58,Neato Hummus Chipotle,3,3,2
59,Marukome Miso Organic 13.2oz,2,8,2
60,Marukome Miso Organic LS 13.2oz,2,8,3
61,Columbus Pastrami Presliced 6oz,2,2,3
63,Columbus Charcuterie Tasting Board 4oz,2,1,3
65,Better Bean Hummus Cup 2oz,3,5,3
66,Divina Olives Blue Cheese Stuffed 4.6oz,3,6,3
67,Divina Olives Castelvetrano 4.6oz,2,6,4
68,Divina Olives Kalamata Pitted 4.2oz,3,5,4
117,BelGioioso Asiago Wedge,3,6,4
122,BelGioioso Romano Wedge,3,5,4
126,Field Roast Chao Cheese Original,2,5,4
133,Laura Chenel Goat Plain Log,2,3,5
134,Laural Chenel Garlic & Chive Goat Log 4oz,3,4,5
154,Daiya Vegan Cream Cheeese Strawberry 8oz,3,4,5
155,Daiya Vegan Cream Cheese Plain 8oz,2,4,5
156,Daiya Vegan Sliced Cheese,3,5,5
168,Field Roast Apple Sage Sausage,2,5,6
169,Field Roast Brkfst Mple Sausage,2,3,6
170,Field Roast Frankforter Sausage,2,3,6
171,Field Roast Fruffalo Wing,2,26,6
172,Field Roast Lentil Sage Deli,2,3,6
173,Field Roast Mex Chiptle Sausage,2,3,7
174,Field Roast Smked Tmto Deli Sliced,2,4,7
175,Uptons Natural Seitain Chorizo ,2,3,7
176,Uptons Natural Seitan Bacon,1,8,7
,,,,
23,DM2Go Fresh Cut Fruit,3,3,8
24,DM2Go Chia Pudding Strawberry,3,5,8
25,DM2Go Fresh Crudite,3,3,8
26,DM2Go Fresh Grapes,2,5,8
27,DM2Go Moto Hawaiian Fried Rice,2,2,8
28,DM2Go Chicken Kale Caesar Salad,2,3,9
29,DM2Go Farmers Market Salad,2,3,9
30,DM2Go Greek Salad,1,3,9
31,DM2Go Chicken Shawarma,1,1,9
32,DM2Go Ham Havarti Croissant Sandwich,1,3,9
33,DM2Go Mediterranean Chickpea Sandwich,2,1,10
34,DM2Go Peanut Butter and Jam Sandwich,2,1,10
35,DM2Go Turkey and Cheddar Sandwich,1,1,10
48,G2G Bar Choc Banana,2,3,10
49,G2G Bar Peanut Butter & Jelly,2,3,10
50,Pennys Salsa Medium 16oz,1,3,10
54,Neato Bur Seven Layer,3,2,11
62,Olli Pepperoni Presliced 4oz,2,1,11
69,GeradDom Wild Coho Smoked Salmon,2,1,11
70,SarbarGoMed Hummus,2,3,11
71,SarbarGoMed Hummus Rstd Garlic,1,2,11
72,SarbarGoMed Hummus Rstd Pep,1,3,11
,,,,
4,Wilcox HB Egg 2Pk Cage Free,3,3,18
5,Columbus Snack Tray Italian Dry Salami,3,2,18
6,Hillshire SP Genoa Salame,3,3,18
7,Hillshire SP Hot Calabrese,2,3,18
8,Hillshire SP Ital Dry Salame,2,3,18
9,Sabra Hummus Garlic and Pretzel,3,4,18
10,Sabra Hummus Red Pepper,2,4,18
13,BBQ Turkey Meatballs,2,2,18
14,Chicken Potsticker Salad,2,3,18
15,Corn Salad,2,3,18
16,Pesto Tortellini,3,3,19
17,Quinoa Tabbolouleh,3,3,19
18,Roasted Broccoli Salad,3,3,19
19,Tropical Fruit Salad,3,3,19
20,Teriyaki Beef Meal,3,2,19
21,Teriyaki Chicken Meal,3,2,20
22,Vegan Chana Masala,3,2,20
118,BelGioioso Mascarpone Belgioioso,3,3,20
119,BelGioioso Parmesan Shredded Cup,3,3,20
120,BelGioioso Parmesan Wedge,2,3,20
121,BelGioioso Romano Shredded Cup,4,4,21
123,BelGioioso Snacking Mozzarella,3,1,21
124,Best Yet Amer Singles 12oz,3,5,21
125,Best Yet Colby Jack Shred 8oz,3,2,21
127,Galbani Mozzarella Loaf 16oz,2,2,21
128,Kraft Amer Singles 8oz,4,5,22
135,Organic Creamery Feta Crumble Cup,4,3,22
153,Boursin Cheese Garlic Herb 5oz,3,3,22
157,Philadelphia Cream Cheese Low Fat,3,4,22
158,Philadelphia Cream Cheese Original,3,7,22
159,Beechers Mac and Cheese Gluten Free,3,3,23
160,Beechers Mac and Cheese Worlds Best,3,5,23
161,Buddig Ham 2oz,2,2,23
162,Oscar M Deli Roasted Turkey 9oz,2,3,23
163,Applegate Chicken Maple Sausag,2,4,23
164,Applegate Oven Roasted Chicken,2,3,23
165,Applegate Sliced Ham,2,2,23
166,Applegate Smoked Turkey Slices,2,2,23
167,Applegate Turkey Bacon,2,3,23
